time	control	0.1	0.5	1	3	
0	0.141	0.125	0.14	0.145	0.144	
20	0.189	0.174	0.188	0.187	0.185	
40	0.276	0.245	0.267	0.258	0.184	
60	0.397	0.351	0.363	0.293	0.149	
80	0.479	0.446	0.424	0.247	0.128	
100	0.572	0.537	0.444	0.171	0.1	
120	0.658	0.622	0.433	0.135	0.099	
140	0.731	0.692	0.429	0.119	0.069	
160	0.816	0.765	0.453	0.101	0.06	
180	0.892	0.828	0.494	0.097	0.055	
200	0.956	0.893	0.552	0.091	0.054	
221	1.006	0.947	0.625	0.087	0.048	
241	1.033	0.984	0.689	0.085	0.045	
260	1.069	1.03	0.748	0.088	0.046	
280	1.076	1.056	0.825	0.092	0.043	
300	1.068	1.072	0.882	0.095	0.053	
320	1.063	1.069	0.906	0.099	0.039	
